ap_id,invoice_id,invoice_number,vendor_id,received_date,received_channel,amount,coded_entity,coded_account,coded_cost_center,po_id,status,approver,due_date,paid_date
AP-V002-007,INV-V002-007,CH-2249,V002,2026-12-08,ap@northstar.example,36000.0,NS-US,6110,CC-110,PO-1011,PENDING_APPROVAL,E011,2027-01-02,
AP-V011-002,INV-V011-002,TB-2214,V011,2026-12-09,ap@northstar.example,31000.0,NS-US,6400,CC-170,,PENDING_APPROVAL,E017,2026-12-20,
AP-V013-007,INV-V013-007,SG-2249,V013,2026-12-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,PENDING_APPROVAL,E011,2027-01-03,
AP-V016-007,INV-V016-007,NT-2249,V016,2026-12-09,ap-old@northstar.example (retired mailbox),5480.0,NS-US,6600,CC-210,,PENDING_APPROVAL,E021,2026-12-30,
AP-V011-003,INV-V011-003,TB-2221,V011,2026-12-14,ap@northstar.example,30000.0,NS-US,6400,CC-170,,PENDING_APPROVAL,E017,2027-01-09,
AP-V006-002,INV-V006-002,BW-2214,V006,2026-12-15,ap@northstar.example,29600.0,NS-US,6200,CC-140,PO-1042,PENDING_APPROVAL,E014,2027-01-09,
AP-V015-001,INV-V015-001,QB-2207,V015,2026-12-16,ap@northstar.example,9300.0,NS-US,6120,CC-200,PO-1051,PENDING_APPROVAL,E020,2027-01-14,
AP-V007-005,INV-V007-005,ML-2235,V007,2026-12-18,ap@northstar.example,6200.0,NS-US,6210,CC-150,,PENDING_APPROVAL,E015,2027-01-15,
AP-V012-004,INV-V012-004,7731-R,V012,2026-12-18,ap@northstar.example,7850.0,NS-US,6500,CC-190,PO-1046,PENDING_APPROVAL,E019,2027-01-16,
AP-V008-009,INV-V008-009,ON-2263,V008,2026-12-25,ap@northstar.example,22500.0,NS-US,6300,CC-160,,PENDING_APPROVAL,E016,2027-01-23,
AP-V004-008,INV-V004-008,LC-2256,V004,2027-01-02,ap@northstar.example,18000.0,NS-US,6120,CC-130,PO-1008,PENDING_APPROVAL,E013,2027-01-30,
AP-V009-008,INV-V009-008,PC-2256,V009,2027-01-02,ap@northstar.example,4980.0,NS-US,6120,CC-170,PO-1005,PENDING_APPROVAL,E017,2027-01-30,
AP-V016-008,INV-V016-008,NT-2256,V016,2027-01-02,ap@northstar.example,5515.0,NS-US,6600,CC-210,,PENDING_APPROVAL,E021,2027-01-30,
AP-V017-008,INV-V017-008,TW-2256,V017,2027-01-02,ap@northstar.example,6900.0,NS-US,6300,CC-300,,PENDING_APPROVAL,E022,2027-01-30,
AP-V005-008,INV-V005-008,PL-2256,V005,2027-01-04,ap@northstar.example,6400.0,NS-US,6120,CC-110,PO-1021,PENDING_APPROVAL,E011,2027-01-30,
AP-V002-008,INV-V002-008,CH-2256,V002,2027-01-08,ap@northstar.example,43800.0,NS-US,6110,CC-110,PO-1011,PENDING_APPROVAL,E011,2027-02-02,
AP-V003-008,INV-V003-008,HD-2256,V003,2027-01-09,ap@northstar.example,12009.68,NS-US,6120,CC-120,PO-1017,PENDING_APPROVAL,E012,2027-01-30,
AP-V013-008,INV-V013-008,SG-2256,V013,2027-01-09,ap@northstar.example,8000.0,NS-US,6110,CC-110,PO-1014,PENDING_APPROVAL,E011,2027-02-03,
AP-V001-008,INV-V001-008,DF-2256,V001,2027-01-12,ap@northstar.example,52500.0,NS-US,6100,CC-100,PO-1029,PENDING_APPROVAL,E010,2027-01-30,
AP-V006-003,INV-V006-003,BW-2221,V006,2027-01-15,ap@northstar.example,26270.0,NS-US,6200,CC-140,PO-1042,PENDING_APPROVAL,E014,2027-02-09,
AP-V015-002,INV-V015-002,QB-2214,V015,2027-01-16,ap@northstar.example,9300.0,NS-US,6120,CC-200,PO-1051,PENDING_APPROVAL,E020,2027-02-14,
AP-V009-010,INV-V009-010,PC-CM-0114,V009,2027-01-20,ap@northstar.example,-830.0,NS-US,6120,CC-170,PO-1005,PENDING_APPROVAL,E017,2027-02-18,
AP-V007-006,INV-V007-006,ML-2242,V007,2027-01-22,ap@northstar.example,41870.0,NS-US,6210,CC-150,,PENDING_APPROVAL,E015,2027-02-19,
AP-V009-009,INV-V009-009,PC-2263,V009,2027-02-02,ap@northstar.example,4150.0,NS-US,6120,CC-170,PO-1005,PENDING_APPROVAL,E017,2027-03-02,
AP-V016-009,INV-V016-009,NT-2263,V016,2027-02-02,ap@northstar.example,5440.0,NS-US,6600,CC-210,,PENDING_APPROVAL,E021,2027-03-02,
AP-V017-009,INV-V017-009,TW-2263,V017,2027-02-02,ap@northstar.example,6900.0,NS-UK,6300,CC-300,,PENDING_APPROVAL,E022,2027-03-02,
AP-V003-009,INV-V003-009,HD-2263,V003,2027-02-03,ap@northstar.example,12750.0,NS-US,6120,CC-120,PO-1017,PENDING_APPROVAL,E012,2027-03-02,
AP-V012-005,INV-V012-005,PW-2235,V012,2027-02-06,ap@northstar.example,3200.0,NS-US,6500,CC-190,PO-1058,PENDING_APPROVAL,E019,2027-03-06,
AP-V002-009,INV-V002-009,CH-2263,V002,2027-02-08,ap@northstar.example,37500.0,NS-US,6110,CC-110,PO-1011,PENDING_APPROVAL,E011,2027-03-05,
AP-V011-004,INV-V011-004,TB-2228,V011,2027-02-08,ap@northstar.example,28000.0,NS-US,6400,CC-170,,PENDING_APPROVAL,E017,2027-03-06,
AP-V014-003,INV-V014-003,AF-2221,V014,2027-02-08,ap@northstar.example,13500.0,NS-US,6310,CC-160,PO-1019,PENDING_APPROVAL,E016,2027-03-07,
AP-V005-009,INV-V005-009,PL-2263,V005,2027-02-09,ap@northstar.example,6752.0,NS-US,6120,CC-110,PO-1021,PENDING_APPROVAL,E011,2027-03-02,
AP-V013-009,INV-V013-009,SG-2263,V013,2027-02-09,ap@northstar.example,11600.0,NS-US,6110,CC-110,PO-1014,PENDING_APPROVAL,E011,2027-03-06,
AP-V001-009,INV-V001-009,DF-2263,V001,2027-02-10,ap@northstar.example,52500.0,NS-US,6100,CC-100,PO-1029,PENDING_APPROVAL,E010,2027-03-02,
AP-V004-009,INV-V004-009,LC-2263,V004,2027-02-11,ap@northstar.example,18720.0,NS-US,6120,CC-130,PO-1008,PENDING_APPROVAL,E013,2027-03-02,
AP-V006-004,INV-V006-004,BW-2228,V006,2027-02-15,ap@northstar.example,17760.0,NS-US,6200,CC-140,PO-1042,PENDING_APPROVAL,E014,2027-03-12,
