entry_id,line_no,posting_date,period,legal_entity_id,account,cost_center,vendor_id,debit,credit,entry_type,reference,memo,reversal_of,posted_by
JE-00010,2,2026-05-31,2026-05,NS-US,2100,CC-110,V002,0.0,36000.0,ACCRUAL,ACR-V002-2026-05,Accrual CloudHarbor LLC service 2026-05,,E004
JE-00013,1,2026-05-31,2026-05,NS-US,6110,CC-110,V013,8000.0,0.0,ACCRUAL,ACR-V013-2026-05,Accrual StreamGrid Networks service 2026-05,,E004
JE-00013,2,2026-05-31,2026-05,NS-US,2100,CC-110,V013,0.0,8000.0,ACCRUAL,ACR-V013-2026-05,Accrual StreamGrid Networks service 2026-05,,E004
JE-00016,1,2026-05-31,2026-05,NS-US,6210,CC-150,V007,8500.0,0.0,ACCRUAL,ACR-V007-2026-05,Accrual Meridian Legal LLP service 2026-05,,E004
JE-00016,2,2026-05-31,2026-05,NS-US,2100,CC-150,V007,0.0,8500.0,ACCRUAL,ACR-V007-2026-05,Accrual Meridian Legal LLP service 2026-05,,E004
JE-00049,1,2026-05-31,2026-05,NS-US,6310,CC-160,V014,4500.0,0.0,ACCRUAL,ACR-V014-2026-05,Accrual Atlas Facilities Services service 2026-05,,E004
JE-00049,2,2026-05-31,2026-05,NS-US,2100,CC-160,V014,0.0,4500.0,ACCRUAL,ACR-V014-2026-05,Accrual Atlas Facilities Services service 2026-05,,E004
JE-00002,1,2026-06-01,2026-06,NS-US,6300,CC-160,V008,22500.0,0.0,INVOICE,INV-V008-002,OfficeNest Properties ON-2214,,E004
JE-00002,2,2026-06-01,2026-06,NS-US,2000,CC-160,V008,0.0,22500.0,INVOICE,INV-V008-002,OfficeNest Properties ON-2214,,E004
JE-00011,1,2026-06-01,2026-06,NS-US,2100,CC-110,V002,36000.0,0.0,ACCRUAL_REVERSAL,ACR-V002-2026-05,Auto-reversal of JE-00010,JE-00010,E004
JE-00011,2,2026-06-01,2026-06,NS-US,6110,CC-110,V002,0.0,36000.0,ACCRUAL_REVERSAL,ACR-V002-2026-05,Auto-reversal of JE-00010,JE-00010,E004
JE-00014,1,2026-06-01,2026-06,NS-US,2100,CC-110,V013,8000.0,0.0,ACCRUAL_REVERSAL,ACR-V013-2026-05,Auto-reversal of JE-00013,JE-00013,E004
JE-00014,2,2026-06-01,2026-06,NS-US,6110,CC-110,V013,0.0,8000.0,ACCRUAL_REVERSAL,ACR-V013-2026-05,Auto-reversal of JE-00013,JE-00013,E004
JE-00017,1,2026-06-01,2026-06,NS-US,2100,CC-150,V007,8500.0,0.0,ACCRUAL_REVERSAL,ACR-V007-2026-05,Auto-reversal of JE-00016,JE-00016,E004
JE-00017,2,2026-06-01,2026-06,NS-US,6210,CC-150,V007,0.0,8500.0,ACCRUAL_REVERSAL,ACR-V007-2026-05,Auto-reversal of JE-00016,JE-00016,E004
JE-00050,1,2026-06-01,2026-06,NS-US,2100,CC-160,V014,4500.0,0.0,ACCRUAL_REVERSAL,ACR-V014-2026-05,Auto-reversal of JE-00049,JE-00049,E004
JE-00050,2,2026-06-01,2026-06,NS-US,6310,CC-160,V014,0.0,4500.0,ACCRUAL_REVERSAL,ACR-V014-2026-05,Auto-reversal of JE-00049,JE-00049,E004
JE-00012,1,2026-06-08,2026-06,NS-US,6110,CC-110,V002,36000.0,0.0,INVOICE,INV-V002-001,CloudHarbor LLC CH-2207,,E004
JE-00012,2,2026-06-08,2026-06,NS-US,2000,CC-110,V002,0.0,36000.0,INVOICE,INV-V002-001,CloudHarbor LLC CH-2207,,E004
JE-00015,1,2026-06-09,2026-06,NS-US,6110,CC-110,V013,8000.0,0.0,INVOICE,INV-V013-001,StreamGrid Networks SG-2207,,E004
JE-00015,2,2026-06-09,2026-06,NS-US,2000,CC-110,V013,0.0,8000.0,INVOICE,INV-V013-001,StreamGrid Networks SG-2207,,E004
JE-00018,1,2026-06-20,2026-06,NS-US,6210,CC-150,V007,8500.0,0.0,INVOICE,INV-V007-001,Meridian Legal LLP ML-2207,,E004
JE-00018,2,2026-06-20,2026-06,NS-US,2000,CC-150,V007,0.0,8500.0,INVOICE,INV-V007-001,Meridian Legal LLP ML-2207,,E004
JE-00020,1,2026-06-30,2026-06,NS-US,6100,CC-100,V001,50000.0,0.0,INVOICE,INV-V001-002,DataForge Inc. DF-2214,,E004
JE-00020,2,2026-06-30,2026-06,NS-US,2000,CC-100,V001,0.0,50000.0,INVOICE,INV-V001-002,DataForge Inc. DF-2214,,E004
JE-00021,1,2026-06-30,2026-06,NS-US,6120,CC-130,V004,18000.0,0.0,INVOICE,INV-V004-002,Lumen CRM Corp. LC-2214,,E004
JE-00021,2,2026-06-30,2026-06,NS-US,2000,CC-130,V004,0.0,18000.0,INVOICE,INV-V004-002,Lumen CRM Corp. LC-2214,,E004
JE-00022,1,2026-06-30,2026-06,NS-US,6120,CC-170,V009,4150.0,0.0,INVOICE,INV-V009-002,PayCircle Inc. PC-2214,,E004
JE-00022,2,2026-06-30,2026-06,NS-US,2000,CC-170,V009,0.0,4150.0,INVOICE,INV-V009-002,PayCircle Inc. PC-2214,,E004
JE-00023,1,2026-06-30,2026-06,NS-US,6600,CC-210,V016,5410.0,0.0,INVOICE,INV-V016-002,Northwind Telecom NT-2214,,E004
JE-00023,2,2026-06-30,2026-06,NS-US,2000,CC-210,V016,0.0,5410.0,INVOICE,INV-V016-002,Northwind Telecom NT-2214,,E004
JE-00024,1,2026-06-30,2026-06,NS-UK,6300,CC-300,V017,6900.0,0.0,INVOICE,INV-V017-002,Thames Workspace Ltd TW-2214,,E004
JE-00024,2,2026-06-30,2026-06,NS-UK,2000,CC-300,V017,0.0,6900.0,INVOICE,INV-V017-002,Thames Workspace Ltd TW-2214,,E004
JE-00025,1,2026-06-30,2026-06,NS-US,6120,CC-120,V003,10200.0,0.0,INVOICE,INV-V003-002,Helpline Desk Co. HD-2214,,E004
JE-00025,2,2026-06-30,2026-06,NS-US,2000,CC-120,V003,0.0,10200.0,INVOICE,INV-V003-002,Helpline Desk Co. HD-2214,,E004
JE-00026,1,2026-06-30,2026-06,NS-US,6120,CC-110,V005,6400.0,0.0,INVOICE,INV-V005-002,PagerLoop Inc. PL-2214,,E004
JE-00026,2,2026-06-30,2026-06,NS-US,2000,CC-110,V005,0.0,6400.0,INVOICE,INV-V005-002,PagerLoop Inc. PL-2214,,E004
JE-00027,1,2026-06-30,2026-06,NS-US,6110,CC-110,V002,36000.0,0.0,ACCRUAL,ACR-V002-2026-06,Accrual CloudHarbor LLC service 2026-06,,E004
JE-00027,2,2026-06-30,2026-06,NS-US,2100,CC-110,V002,0.0,36000.0,ACCRUAL,ACR-V002-2026-06,Accrual CloudHarbor LLC service 2026-06,,E004
JE-00030,1,2026-06-30,2026-06,NS-US,6110,CC-110,V013,8000.0,0.0,ACCRUAL,ACR-V013-2026-06,Accrual StreamGrid Networks service 2026-06,,E004
JE-00030,2,2026-06-30,2026-06,NS-US,2100,CC-110,V013,0.0,8000.0,ACCRUAL,ACR-V013-2026-06,Accrual StreamGrid Networks service 2026-06,,E004
JE-00033,1,2026-06-30,2026-06,NS-US,6400,CC-170,V011,27000.0,0.0,ACCRUAL,ACR-V011-2026-06,Accrual TalentBridge Partners service 2026-06,,E004
JE-00033,2,2026-06-30,2026-06,NS-US,2100,CC-170,V011,0.0,27000.0,ACCRUAL,ACR-V011-2026-06,Accrual TalentBridge Partners service 2026-06,,E004
JE-00051,1,2026-06-30,2026-06,NS-US,6310,CC-160,V014,4500.0,0.0,ACCRUAL_CARRYFORWARD,ACR-V014-2026-05,Accrual Atlas Facilities Services service 2026-05,,E004
JE-00051,2,2026-06-30,2026-06,NS-US,2100,CC-160,V014,0.0,4500.0,ACCRUAL_CARRYFORWARD,ACR-V014-2026-05,Accrual Atlas Facilities Services service 2026-05,,E004
JE-00055,1,2026-06-30,2026-06,NS-US,6310,CC-160,V014,4500.0,0.0,ACCRUAL,ACR-V014-2026-06,Accrual Atlas Facilities Services service 2026-06,,E004
JE-00055,2,2026-06-30,2026-06,NS-US,2100,CC-160,V014,0.0,4500.0,ACCRUAL,ACR-V014-2026-06,Accrual Atlas Facilities Services service 2026-06,,E004
JE-00019,1,2026-07-01,2026-07,NS-US,6300,CC-160,V008,22500.0,0.0,INVOICE,INV-V008-003,OfficeNest Properties ON-2221,,E004
JE-00019,2,2026-07-01,2026-07,NS-US,2000,CC-160,V008,0.0,22500.0,INVOICE,INV-V008-003,OfficeNest Properties ON-2221,,E004
JE-00028,1,2026-07-01,2026-07,NS-US,2100,CC-110,V002,36000.0,0.0,ACCRUAL_REVERSAL,ACR-V002-2026-06,Auto-reversal of JE-00027,JE-00027,E004
JE-00028,2,2026-07-01,2026-07,NS-US,6110,CC-110,V002,0.0,36000.0,ACCRUAL_REVERSAL,ACR-V002-2026-06,Auto-reversal of JE-00027,JE-00027,E004
JE-00031,1,2026-07-01,2026-07,NS-US,2100,CC-110,V013,8000.0,0.0,ACCRUAL_REVERSAL,ACR-V013-2026-06,Auto-reversal of JE-00030,JE-00030,E004
JE-00031,2,2026-07-01,2026-07,NS-US,6110,CC-110,V013,0.0,8000.0,ACCRUAL_REVERSAL,ACR-V013-2026-06,Auto-reversal of JE-00030,JE-00030,E004
JE-00034,1,2026-07-01,2026-07,NS-US,2100,CC-170,V011,27000.0,0.0,ACCRUAL_REVERSAL,ACR-V011-2026-06,Auto-reversal of JE-00033,JE-00033,E004
JE-00034,2,2026-07-01,2026-07,NS-US,6400,CC-170,V011,0.0,27000.0,ACCRUAL_REVERSAL,ACR-V011-2026-06,Auto-reversal of JE-00033,JE-00033,E004
JE-00052,1,2026-07-01,2026-07,NS-US,2100,CC-160,V014,4500.0,0.0,ACCRUAL_REVERSAL,ACR-V014-2026-05,Auto-reversal of JE-00051,JE-00051,E004
JE-00052,2,2026-07-01,2026-07,NS-US,6310,CC-160,V014,0.0,4500.0,ACCRUAL_REVERSAL,ACR-V014-2026-05,Auto-reversal of JE-00051,JE-00051,E004
JE-00056,1,2026-07-01,2026-07,NS-US,2100,CC-160,V014,4500.0,0.0,ACCRUAL_REVERSAL,ACR-V014-2026-06,Auto-reversal of JE-00055,JE-00055,E004
JE-00056,2,2026-07-01,2026-07,NS-US,6310,CC-160,V014,0.0,4500.0,ACCRUAL_REVERSAL,ACR-V014-2026-06,Auto-reversal of JE-00055,JE-00055,E004
JE-00029,1,2026-07-08,2026-07,NS-US,6110,CC-110,V002,36000.0,0.0,INVOICE,INV-V002-002,CloudHarbor LLC CH-2214,,E004
JE-00029,2,2026-07-08,2026-07,NS-US,2000,CC-110,V002,0.0,36000.0,INVOICE,INV-V002-002,CloudHarbor LLC CH-2214,,E004
JE-00032,1,2026-07-09,2026-07,NS-US,6110,CC-110,V013,8000.0,0.0,INVOICE,INV-V013-002,StreamGrid Networks SG-2214,,E004
JE-00032,2,2026-07-09,2026-07,NS-US,2000,CC-110,V013,0.0,8000.0,INVOICE,INV-V013-002,StreamGrid Networks SG-2214,,E004
JE-00035,1,2026-07-10,2026-07,NS-US,6400,CC-170,V011,27000.0,0.0,INVOICE,INV-V011-001,TalentBridge Partners TB-2207,,E004
JE-00035,2,2026-07-10,2026-07,NS-US,2000,CC-170,V011,0.0,27000.0,INVOICE,INV-V011-001,TalentBridge Partners TB-2207,,E004
JE-00037,1,2026-07-31,2026-07,NS-US,6100,CC-100,V001,50000.0,0.0,INVOICE,INV-V001-003,DataForge Inc. DF-2221,,E004
JE-00037,2,2026-07-31,2026-07,NS-US,2000,CC-100,V001,0.0,50000.0,INVOICE,INV-V001-003,DataForge Inc. DF-2221,,E004
JE-00038,1,2026-07-31,2026-07,NS-US,6120,CC-130,V004,18000.0,0.0,INVOICE,INV-V004-003,Lumen CRM Corp. LC-2221,,E004
JE-00038,2,2026-07-31,2026-07,NS-US,2000,CC-130,V004,0.0,18000.0,INVOICE,INV-V004-003,Lumen CRM Corp. LC-2221,,E004
JE-00039,1,2026-07-31,2026-07,NS-US,6120,CC-170,V009,4150.0,0.0,INVOICE,INV-V009-003,PayCircle Inc. PC-2221,,E004
JE-00039,2,2026-07-31,2026-07,NS-US,2000,CC-170,V009,0.0,4150.0,INVOICE,INV-V009-003,PayCircle Inc. PC-2221,,E004
JE-00040,1,2026-07-31,2026-07,NS-US,6600,CC-210,V016,5395.0,0.0,INVOICE,INV-V016-003,Northwind Telecom NT-2221,,E004
JE-00040,2,2026-07-31,2026-07,NS-US,2000,CC-210,V016,0.0,5395.0,INVOICE,INV-V016-003,Northwind Telecom NT-2221,,E004
JE-00041,1,2026-07-31,2026-07,NS-UK,6300,CC-300,V017,6900.0,0.0,INVOICE,INV-V017-003,Thames Workspace Ltd TW-2221,,E004
JE-00041,2,2026-07-31,2026-07,NS-UK,2000,CC-300,V017,0.0,6900.0,INVOICE,INV-V017-003,Thames Workspace Ltd TW-2221,,E004
JE-00042,1,2026-07-31,2026-07,NS-US,6120,CC-120,V003,10200.0,0.0,INVOICE,INV-V003-003,Helpline Desk Co. HD-2221,,E004
JE-00042,2,2026-07-31,2026-07,NS-US,2000,CC-120,V003,0.0,10200.0,INVOICE,INV-V003-003,Helpline Desk Co. HD-2221,,E004
JE-00047,1,2026-07-31,2026-07,NS-US,6500,CC-190,V012,5400.0,0.0,INVOICE,INV-V012-001,PrintWorks Studio PW-2207,,E004
JE-00047,2,2026-07-31,2026-07,NS-US,2000,CC-190,V012,0.0,5400.0,INVOICE,INV-V012-001,PrintWorks Studio PW-2207,,E004
JE-00048,1,2026-07-31,2026-07,NS-US,6120,CC-110,V005,6400.0,0.0,INVOICE,INV-V005-003,PagerLoop Inc. PL-2221,,E004
JE-00048,2,2026-07-31,2026-07,NS-US,2000,CC-110,V005,0.0,6400.0,INVOICE,INV-V005-003,PagerLoop Inc. PL-2221,,E004
JE-00053,1,2026-07-31,2026-07,NS-US,6310,CC-160,V014,4500.0,0.0,ACCRUAL_CARRYFORWARD,ACR-V014-2026-05,Accrual Atlas Facilities Services service 2026-05,,E004
JE-00053,2,2026-07-31,2026-07,NS-US,2100,CC-160,V014,0.0,4500.0,ACCRUAL_CARRYFORWARD,ACR-V014-2026-05,Accrual Atlas Facilities Services service 2026-05,,E004
JE-00057,1,2026-07-31,2026-07,NS-US,6310,CC-160,V014,4500.0,0.0,ACCRUAL_CARRYFORWARD,ACR-V014-2026-06,Accrual Atlas Facilities Services service 2026-06,,E004
JE-00057,2,2026-07-31,2026-07,NS-US,2100,CC-160,V014,0.0,4500.0,ACCRUAL_CARRYFORWARD,ACR-V014-2026-06,Accrual Atlas Facilities Services service 2026-06,,E004
JE-00059,1,2026-07-31,2026-07,NS-US,6310,CC-160,V014,4500.0,0.0,ACCRUAL,ACR-V014-2026-07,Accrual Atlas Facilities Services service 2026-07,,E004
JE-00059,2,2026-07-31,2026-07,NS-US,2100,CC-160,V014,0.0,4500.0,ACCRUAL,ACR-V014-2026-07,Accrual Atlas Facilities Services service 2026-07,,E004
JE-00062,1,2026-07-31,2026-07,NS-US,6110,CC-110,V002,36000.0,0.0,ACCRUAL,ACR-V002-2026-07,Accrual CloudHarbor LLC service 2026-07,,E004
JE-00062,2,2026-07-31,2026-07,NS-US,2100,CC-110,V002,0.0,36000.0,ACCRUAL,ACR-V002-2026-07,Accrual CloudHarbor LLC service 2026-07,,E004
JE-00065,1,2026-07-31,2026-07,NS-US,6110,CC-110,V013,8000.0,0.0,ACCRUAL,ACR-V013-2026-07,Accrual StreamGrid Networks service 2026-07,,E004
JE-00065,2,2026-07-31,2026-07,NS-US,2100,CC-110,V013,0.0,8000.0,ACCRUAL,ACR-V013-2026-07,Accrual StreamGrid Networks service 2026-07,,E004
JE-00068,1,2026-07-31,2026-07,NS-US,6210,CC-150,V007,20000.0,0.0,ACCRUAL,ACR-V007-2026-07,Accrual Meridian Legal LLP service 2026-07,,E004
JE-00068,2,2026-07-31,2026-07,NS-US,2100,CC-150,V007,0.0,20000.0,ACCRUAL,ACR-V007-2026-07,Accrual Meridian Legal LLP service 2026-07,,E004
JE-00036,1,2026-08-01,2026-08,NS-US,6300,CC-160,V008,22500.0,0.0,INVOICE,INV-V008-004,OfficeNest Properties ON-2228,,E004
JE-00036,2,2026-08-01,2026-08,NS-US,2000,CC-160,V008,0.0,22500.0,INVOICE,INV-V008-004,OfficeNest Properties ON-2228,,E004
JE-00054,1,2026-08-01,2026-08,NS-US,2100,CC-160,V014,4500.0,0.0,ACCRUAL_REVERSAL,ACR-V014-2026-05,Auto-reversal of JE-00053,JE-00053,E004
JE-00054,2,2026-08-01,2026-08,NS-US,6310,CC-160,V014,0.0,4500.0,ACCRUAL_REVERSAL,ACR-V014-2026-05,Auto-reversal of JE-00053,JE-00053,E004
JE-00058,1,2026-08-01,2026-08,NS-US,2100,CC-160,V014,4500.0,0.0,ACCRUAL_REVERSAL,ACR-V014-2026-06,Auto-reversal of JE-00057,JE-00057,E004
JE-00058,2,2026-08-01,2026-08,NS-US,6310,CC-160,V014,0.0,4500.0,ACCRUAL_REVERSAL,ACR-V014-2026-06,Auto-reversal of JE-00057,JE-00057,E004
JE-00060,1,2026-08-01,2026-08,NS-US,2100,CC-160,V014,4500.0,0.0,ACCRUAL_REVERSAL,ACR-V014-2026-07,Auto-reversal of JE-00059,JE-00059,E004
JE-00060,2,2026-08-01,2026-08,NS-US,6310,CC-160,V014,0.0,4500.0,ACCRUAL_REVERSAL,ACR-V014-2026-07,Auto-reversal of JE-00059,JE-00059,E004
JE-00063,1,2026-08-01,2026-08,NS-US,2100,CC-110,V002,36000.0,0.0,ACCRUAL_REVERSAL,ACR-V002-2026-07,Auto-reversal of JE-00062,JE-00062,E004
JE-00063,2,2026-08-01,2026-08,NS-US,6110,CC-110,V002,0.0,36000.0,ACCRUAL_REVERSAL,ACR-V002-2026-07,Auto-reversal of JE-00062,JE-00062,E004
JE-00066,1,2026-08-01,2026-08,NS-US,2100,CC-110,V013,8000.0,0.0,ACCRUAL_REVERSAL,ACR-V013-2026-07,Auto-reversal of JE-00065,JE-00065,E004
JE-00066,2,2026-08-01,2026-08,NS-US,6110,CC-110,V013,0.0,8000.0,ACCRUAL_REVERSAL,ACR-V013-2026-07,Auto-reversal of JE-00065,JE-00065,E004
JE-00069,1,2026-08-01,2026-08,NS-US,2100,CC-150,V007,20000.0,0.0,ACCRUAL_REVERSAL,ACR-V007-2026-07,Auto-reversal of JE-00068,JE-00068,E004
JE-00069,2,2026-08-01,2026-08,NS-US,6210,CC-150,V007,0.0,20000.0,ACCRUAL_REVERSAL,ACR-V007-2026-07,Auto-reversal of JE-00068,JE-00068,E004
JE-00043,1,2026-08-03,2026-08,NS-US,1300,CC-180,V010,96000.0,0.0,INVOICE,INV-V010-001,"SecureLayer annual subscription, prepaid",,E004
JE-00043,2,2026-08-03,2026-08,NS-US,2000,CC-180,V010,0.0,96000.0,INVOICE,INV-V010-001,"SecureLayer annual subscription, prepaid",,E004
JE-00061,1,2026-08-06,2026-08,NS-US,6310,CC-160,V014,13500.0,0.0,INVOICE,INV-V014-001,Atlas Facilities Services AF-2207,,E004
JE-00061,2,2026-08-06,2026-08,NS-US,2000,CC-160,V014,0.0,13500.0,INVOICE,INV-V014-001,Atlas Facilities Services AF-2207,,E004
JE-00064,1,2026-08-08,2026-08,NS-US,6110,CC-110,V002,36000.0,0.0,INVOICE,INV-V002-003,CloudHarbor LLC CH-2221,,E004
JE-00064,2,2026-08-08,2026-08,NS-US,2000,CC-110,V002,0.0,36000.0,INVOICE,INV-V002-003,CloudHarbor LLC CH-2221,,E004
JE-00067,1,2026-08-09,2026-08,NS-US,6110,CC-110,V013,8000.0,0.0,INVOICE,INV-V013-003,StreamGrid Networks SG-2221,,E004
JE-00067,2,2026-08-09,2026-08,NS-US,2000,CC-110,V013,0.0,8000.0,INVOICE,INV-V013-003,StreamGrid Networks SG-2221,,E004
JE-00070,1,2026-08-20,2026-08,NS-US,6210,CC-150,V007,22300.0,0.0,INVOICE,INV-V007-002,Meridian Legal LLP ML-2214,,E004
JE-00070,2,2026-08-20,2026-08,NS-US,2000,CC-150,V007,0.0,22300.0,INVOICE,INV-V007-002,Meridian Legal LLP ML-2214,,E004
JE-00044,1,2026-08-31,2026-08,NS-US,6120,CC-180,V010,8000.0,0.0,AMORTIZATION,INV-V010-001,Prepaid amortization 2026-08,,E004
JE-00044,2,2026-08-31,2026-08,NS-US,1300,CC-180,V010,0.0,8000.0,AMORTIZATION,INV-V010-001,Prepaid amortization 2026-08,,E004
JE-00072,1,2026-08-31,2026-08,NS-US,6100,CC-100,V001,50000.0,0.0,INVOICE,INV-V001-004,DataForge Inc. DF-2228,,E004
JE-00072,2,2026-08-31,2026-08,NS-US,2000,CC-100,V001,0.0,50000.0,INVOICE,INV-V001-004,DataForge Inc. DF-2228,,E004
JE-00073,1,2026-08-31,2026-08,NS-US,6120,CC-130,V004,18000.0,0.0,INVOICE,INV-V004-004,Lumen CRM Corp. LC-2228,,E004
JE-00073,2,2026-08-31,2026-08,NS-US,2000,CC-130,V004,0.0,18000.0,INVOICE,INV-V004-004,Lumen CRM Corp. LC-2228,,E004
JE-00074,1,2026-08-31,2026-08,NS-US,6120,CC-170,V009,4150.0,0.0,INVOICE,INV-V009-004,PayCircle Inc. PC-2228,,E004
JE-00074,2,2026-08-31,2026-08,NS-US,2000,CC-170,V009,0.0,4150.0,INVOICE,INV-V009-004,PayCircle Inc. PC-2228,,E004
JE-00075,1,2026-08-31,2026-08,NS-US,6600,CC-210,V016,5520.0,0.0,INVOICE,INV-V016-004,Northwind Telecom NT-2228,,E004
JE-00075,2,2026-08-31,2026-08,NS-US,2000,CC-210,V016,0.0,5520.0,INVOICE,INV-V016-004,Northwind Telecom NT-2228,,E004
JE-00076,1,2026-08-31,2026-08,NS-UK,6300,CC-300,V017,6900.0,0.0,INVOICE,INV-V017-004,Thames Workspace Ltd TW-2228,,E004
JE-00076,2,2026-08-31,2026-08,NS-UK,2000,CC-300,V017,0.0,6900.0,INVOICE,INV-V017-004,Thames Workspace Ltd TW-2228,,E004
JE-00077,1,2026-08-31,2026-08,NS-US,6120,CC-120,V003,10200.0,0.0,INVOICE,INV-V003-004,Helpline Desk Co. HD-2228,,E004
JE-00077,2,2026-08-31,2026-08,NS-US,2000,CC-120,V003,0.0,10200.0,INVOICE,INV-V003-004,Helpline Desk Co. HD-2228,,E004
JE-00078,1,2026-08-31,2026-08,NS-US,6120,CC-110,V005,6400.0,0.0,INVOICE,INV-V005-004,PagerLoop Inc. PL-2228,,E004
JE-00078,2,2026-08-31,2026-08,NS-US,2000,CC-110,V005,0.0,6400.0,INVOICE,INV-V005-004,PagerLoop Inc. PL-2228,,E004
JE-00079,1,2026-08-31,2026-08,NS-US,6110,CC-110,V002,36000.0,0.0,ACCRUAL,ACR-V002-2026-08,Accrual CloudHarbor LLC service 2026-08,,E004
JE-00079,2,2026-08-31,2026-08,NS-US,2100,CC-110,V002,0.0,36000.0,ACCRUAL,ACR-V002-2026-08,Accrual CloudHarbor LLC service 2026-08,,E004
JE-00082,1,2026-08-31,2026-08,NS-US,6110,CC-110,V013,8000.0,0.0,ACCRUAL,ACR-V013-2026-08,Accrual StreamGrid Networks service 2026-08,,E004
JE-00082,2,2026-08-31,2026-08,NS-US,2100,CC-110,V013,0.0,8000.0,ACCRUAL,ACR-V013-2026-08,Accrual StreamGrid Networks service 2026-08,,E004
JE-00085,1,2026-08-31,2026-08,NS-US,6210,CC-150,V007,4100.0,0.0,ACCRUAL,ACR-V007-2026-08,Accrual Meridian Legal LLP service 2026-08,,E004
JE-00085,2,2026-08-31,2026-08,NS-US,2100,CC-150,V007,0.0,4100.0,ACCRUAL,ACR-V007-2026-08,Accrual Meridian Legal LLP service 2026-08,,E004
JE-00110,1,2026-08-31,2026-08,NS-US,6310,CC-160,V014,4500.0,0.0,ACCRUAL,ACR-V014-2026-08,Accrual Atlas Facilities Services service 2026-08,,E004
JE-00110,2,2026-08-31,2026-08,NS-US,2100,CC-160,V014,0.0,4500.0,ACCRUAL,ACR-V014-2026-08,Accrual Atlas Facilities Services service 2026-08,,E004
JE-00071,1,2026-09-01,2026-09,NS-US,6300,CC-160,V008,22500.0,0.0,INVOICE,INV-V008-005,OfficeNest Properties ON-2235,,E004
JE-00071,2,2026-09-01,2026-09,NS-US,2000,CC-160,V008,0.0,22500.0,INVOICE,INV-V008-005,OfficeNest Properties ON-2235,,E004
JE-00080,1,2026-09-01,2026-09,NS-US,2100,CC-110,V002,36000.0,0.0,ACCRUAL_REVERSAL,ACR-V002-2026-08,Auto-reversal of JE-00079,JE-00079,E004
JE-00080,2,2026-09-01,2026-09,NS-US,6110,CC-110,V002,0.0,36000.0,ACCRUAL_REVERSAL,ACR-V002-2026-08,Auto-reversal of JE-00079,JE-00079,E004
JE-00083,1,2026-09-01,2026-09,NS-US,2100,CC-110,V013,8000.0,0.0,ACCRUAL_REVERSAL,ACR-V013-2026-08,Auto-reversal of JE-00082,JE-00082,E004
